Customer_ID,Customer_Name,Date_of_Birth,Marital_Status,Gender,Yearly_Income
RH19495,Rick Hansen,1983-09-03,M,M,90000
JR16210,Justin Ritter,1961-09-25,S,M,60000
CR12730,Craig Reiter,1998-11-23,M,M,60000
KM16375,Katherine Murray,1987-08-04,S,F,70000
RH9495,Rick Hansen,1979-10-30,S,F,80000
JM15655,Jim Mitchum,1972-01-23,S,M,70000
TS21340,Toby Swindell,1964-10-05,S,F,70000
MB18085,Mick Brown,1996-01-27,M,M,60000
JW15220,Jane Waco,2004-09-27,S,F,60000
JH15985,Joseph Holt,1950-08-16,S,M,70000
GM14695,Greg Maxwell,1956-11-29,S,F,70000
AJ10780,Anthony Jacobs,1999-01-13,M,M,60000
MM7260,Magdelene Morse,1966-08-15,M,F,100000
VF21715,Vicky Freymann,1988-12-06,M,M,100000
PF19120,Peter Fuller,1974-04-05,S,F,100000
BP11185,Ben Peterman,1951-04-22,S,F,30000
TB21175,Thomas Boland,1970-06-13,M,M,30000
PJ18835,Patrick Jones,1991-05-13,S,F,20000
JS15685,Jim Sink,1973-03-09,S,M,30000
RH9555,Ritsa Hightower,1983-12-02,S,M,40000
AB600,Ann Blume,1962-07-12,S,M,40000
SA20830,Sue Ann Reed,1992-07-15,S,F,40000
JK15325,Jason Klamczynski,1980-09-17,M,M,40000
LB16795,Laurel Beltran,1985-07-04,M,M,40000
NP18325,Naresj Patel,1952-11-08,M,M,60000
VD21670,Valerie Dominguez,1991-06-20,M,M,10000
PB19210,Phillip Breyer,1951-12-05,S,M,30000
EB14110,Eugene Barchas,1991-12-03,M,M,30000
KF16285,Karen Ferguson,1968-05-05,M,F,30000
BP11230,Benjamin Patterson,1981-06-14,M,M,30000
RR19525,Rick Reed,1994-12-15,M,F,10000
BS11365,Bill Shonely,1993-03-24,M,F,20000
JE15745,Joel Eaton,1952-09-20,M,F,20000
DP13105,Dave Poirier,1996-02-19,M,M,20000
NP18700,Nora Preis,1968-02-18,M,F,20000
AH30,Aaron Hawkins,1977-11-19,M,F,10000
DM13015,Darrin Martin,2005-05-31,M,F,60000
GT14635,Grant Thornton,1972-02-06,S,F,40000
PO18865,Patrick O'Donnell,1977-12-16,M,F,10000
DL12865,Dan Lawera,1981-09-08,M,M,30000
JB16000,Joy Bell,1954-10-25,M,M,30000
